age,job,marital,Married,education,Ed,default,Def,balance,housing,House,loan,Personal,contact,day,month,duration,campaign,pdays,previous,Previous,Subscribe
30,unemployed,married,1,primary,1,no,0,1787,no,0,no,0,cellular,19,oct,79,1,-1,0,0,0
33,services,married,1,secondary,2,no,0,4789,yes,1,yes,1,cellular,11,may,220,1,339,4,0,0
35,management,single,0,tertiary,3,no,0,1350,yes,1,no,0,cellular,16,apr,185,1,330,1,0,0
30,management,married,1,tertiary,3,no,0,1476,yes,1,yes,1,unknown,3,jun,199,4,-1,0,0,0
59,blue-collar,married,1,secondary,2,no,0,0,yes,1,no,0,unknown,5,may,226,1,-1,0,0,0
35,management,single,0,tertiary,3,no,0,747,no,0,no,0,cellular,23,feb,141,2,176,3,0,0
36,self-employed,married,1,tertiary,3,no,0,307,yes,1,no,0,cellular,14,may,341,1,330,2,0,0
39,technician,married,1,secondary,2,no,0,147,yes,1,no,0,cellular,6,may,151,2,-1,0,0,0
41,entrepreneur,married,1,tertiary,3,no,0,221,yes,1,no,0,unknown,14,may,57,2,-1,0,0,0
43,services,married,1,primary,1,no,0,-88,yes,1,yes,1,cellular,17,apr,313,1,147,2,0,0
39,services,married,1,secondary,2,no,0,9374,yes,1,no,0,unknown,20,may,273,1,-1,0,0,0
43,admin.,married,1,secondary,2,no,0,264,yes,1,no,0,cellular,17,apr,113,2,-1,0,0,0
36,technician,married,1,tertiary,3,no,0,1109,no,0,no,0,cellular,13,aug,328,2,-1,0,0,0
20,student,single,0,secondary,2,no,0,502,no,0,no,0,cellular,30,apr,261,1,-1,0,0,1
31,blue-collar,married,1,secondary,2,no,0,360,yes,1,yes,1,cellular,29,jan,89,1,241,1,0,0
40,management,married,1,tertiary,3,no,0,194,no,0,yes,1,cellular,29,aug,189,2,-1,0,0,0
56,technician,married,1,secondary,2,no,0,4073,no,0,no,0,cellular,27,aug,239,5,-1,0,0,0
37,admin.,single,0,tertiary,3,no,0,2317,yes,1,no,0,cellular,20,apr,114,1,152,2,0,0
